year,power,people,urban,gdp,industry
1952,1512.4173,57482,7163,679,141 
1953,1514.7387,58796,7826,824,192 
1954,1523.374308,60266,8249,859,211 
1955,1523.374308,61465,8285,911,222 
1956,1525.695708,62828,9185,1030,280 
1957,1525.695708,64653,9949,1071,317 
1958,1528.017108,65994,10721,1312,484 
1959,1542.543378,67207,12371,1447,617 
1960,1633.11915,66207,13073,1470,653 
1961,1651.69035,65859,12707,1232,394 
1962,1693.08135,67295,11659,1162,364 
1963,1700.72445,69172,11646,1248,413 
1964,1719.23433,70499,12950,1469,519 
1965,1733.16273,72538,13045,1734,609 
1966,1767.253146,74542,13313,1888,715 
1967,1835.165922,76368,13548,1794,608 
1968,1865.313462,78534,13838,1744,543 
1969,1904.794782,80671,14117,1962,695 
1970,1951.254318,82992,14424,2279,918 
1971,1982.204274,85229,14711,2456,1030 
1972,2048.25993,87177,14935,2552,1092 
1973,2201.473206,89211,15345,2756,1180 
1974,2337.651786,90859,15595,2827,1200 
1975,2466.007686,92420,16030,3039,1379 
1976,2563.738626,93717,16341,2988,1346 
1977,2724.077286,94974,16669,3250,1518 
1978,2912.90478,96259,17245,3678,1755 
1979,3090.40647,97542,18495,4100,1925 
1980,3226.51935,98705,19140,4587,2205 
1981,3306.25287,100072,20171,4935,2269 
1982,3429.97035,101654,21480,5373,2398 
1983,3546.035094,103008,22274,6020,2663 
1984,3679.979874,104357,24017,7278,3125 
1985,3967.662654,105851,25094,9098,3886 
1986,4230.975114,107507,26366,10376,4515 
1987,4568.594274,109300,27674,12174,5274 
1988,5008.587174,111026,28661,15180,6607 
1989,5795.7,112704,29540,17179,7301 
1990,6146.3,114333,30195,18872,7744 
1991,6710.98,115823,31203,22005,9130 
1992,7446.9,117171,32175,27194,11725 
1993,8158.5,118517,33173,35673,16473 
1994,9090.44,119850,34169,48637,22453 
1995,9860.89,121121,35174,61339,28677 
1996,10549.14,122389,37304,71813,33827 
1997,11045.02,123626,39449,79715,37545 
1998,11387.52,124761,41608,85195,39018 
1999,11984.9,125786,43748,90564,41080 
2000,13472.38,126743,45906,100280,45664 
2001,14723.46,127627,48064,110863,49659 
2002,16465.45,128453,50212,121717,54104 
2003,19031.6,129227,52376,137422,62696 
2004,21971.37,129988,54283,161840,74285 
2005,24940.32,130756,56212,187318,88082 
2006,28587.97,131448,58288,219438,104359 
2007,32711.81,132129,60633,270092,126631 
2008,34541.35,132802,62403,319244,149953 
2009,37032.14,133450,64512,348517,160169 
2010,41934.49,134091,66978,412119,191627 
2011,47000.88,134735,69927,487940,227035 
2012,49762.64,135404,72175,538580,244639 
2013,54203.41,136072,74502,592963,261952 
2014,57829.69,136782,76738,643563,277283 
2015,58019.98,137462,79302,688858,281339 
2016,61205.09,138271,81924,746395,295428 
2017,65913.97,139008,84343,832035,331581 
2018,71508.2,139538,86433,919281,364835 
2019,74866.12,140005,88426,986515,380671 
2020,77620.17,141178,90220,1013567,383562 
2021,81200.1,141260,91425,1149237,451544 
2022,85123,141175,92071,1204724,473790 
2023,89092,140967,93267,1260582,482589 
